[{I} |08-19 15:55:54.831 1787126154] ---->>[pvr_event_notify] SKYFM_ADD_DEVICE, dev_name:TF卡 disk_status:0
[{I} |08-19 15:55:54.832 1787126154] sk_api_client_pub_storage_status:1, status_last:0 retry_last=0
[{I} |08-19 15:55:54.832 1787126154] ---->>[set_storage_status] CLIENT_STORAGE_NORMAL
[{I} |08-19 15:55:54.837 1787126154] ---->>[pub_storage_status] CLIENT_STORAGE_NORMAL
[{I} |08-19 15:55:54.838 1787126154] sk_report_msg_queue_send START
[{I} |08-19 15:55:54.838 1787126154] [REPORT] Post Property Message deviceid:0 msg.msg_type:0  request:[{"StorageStatus":1}] size[20] begin
[{I} |08-19 15:55:54.838 1787126154] [REPORT] Post Property Message deviceid:0  msg.msg_type:0  request:[{"StorageStatus":1}] size[20] end
[{I} |08-19 15:55:54.838 1787126154] sk_report_msg_queue_send END
[{I} |08-19 15:55:54.839 1787126154] [key] StorageStatus [value] 1   
[{I} |08-19 15:55:54.839 1787126154] sk_app_pvr_win_proc: ENTER device_id:0 streamid 0
[{I} |08-19 15:55:54.839 1787126154] sk_app_pvr_win_proc: SMM_PVR_OPEN
[{E} |08-19 15:55:55.044 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.044 1787126155] mk:[RtspSession.cpp:844][event poller 4:handleReq_Play] 9-249(192.168.7.104:2244) rhandleReq_Play Session   :##IxfDQ8luiE6I###

[{D} |08-19 15:55:55.044 1787126155] mk:[RtspSession.cpp:845][event poller 4:handleReq_Play] 9-249(192.168.7.104:2244) rhandleReq_Play sessionid :##IxfDQ8luiE6I###

[{D} |08-19 15:55:55.044 1787126155] mk:[RtspSession.cpp:880][event poller 4:handleReq_Play] 9-249(192.168.7.104:2244) rtsp_seekTo(ms):0

[{E} |08-19 15:55:55.044 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.061 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.061 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.061 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.093 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.094 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.094 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.101 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.101 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.101 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.101 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.121 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.121 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.121 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.121 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.121 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.141 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.141 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.141 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.157 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.157 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.158 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.180 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.181 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.181 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.181 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.201 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.202 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.202 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.202 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.202 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.221 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.221 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.221 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.226 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.226 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.226 1787126155] mk:[Socket.cpp:906][event poller 0:flushData] flushData

[{E} |08-19 15:55:55.261 1787126155] mk:[Socket.cpp:906][event poller 0:flushData] flushData

[{D} |08-19 15:55:55.261 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.261 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.261 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.283 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.283 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.283 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.283 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.283 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.292 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.292 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.292 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.301 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.301 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.301 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.301 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.340 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.341 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.341 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.358 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.358 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.358 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.362 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.362 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.362 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.362 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.362 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.362 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.381 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.381 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.381 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.423 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.423 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.423 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.427 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.427 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.427 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.441 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.441 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.441 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.441 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.442 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.442 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.464 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.464 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.464 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.494 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.494 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.494 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.502 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.502 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.502 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.503 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.521 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.521 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.521 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.521 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.522 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.540 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.540 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.541 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.558 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.559 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.560 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.581 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.581 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.581 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.581 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.600 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.600 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.600 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.601 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.602 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.620 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

